Date,Symbol,Signal,Cause,EntryTime,ExitTime,LeaveCause,PnL,Return%,Duration,EntryPrice,Group,GRank,MRank,RRank,M1Symbol
20260114,6127,SignalA,StrongGroup,10:04:51,10:34:25,stopLoss,-132053,-1.32,0h29m34s,41.6,被動元件,1,2,5,
20260114,3624,SignalA,StrongGroup,09:41:55,10:37:00,stopLoss,-145138,-1.45,0h55m05s,68.9,被動元件,1,2,2,
20260114,2345,SignalA,StrongGroup,09:32:30,10:40:12,stopLoss,-131148,-1.31,1h07m42s,1220.0,網路通訊,2,2,2,
20260114,1504,SignalA,StrongGroup,10:03:25,11:46:12,takeProfit,262857,2.63,1h42m47s,87.4,重電,1,1,2,
20260114,2308,SignalA,StrongGroup,09:44:27,13:20:00,timeExit,-37559,-0.38,3h35m33s,1065.0,電供,8,1,2,
20260114,3707,SignalA,StrongGroup,11:12:53,13:20:02,timeExit,-120275,-1.20,2h07m09s,58.2,矽晶圓指標,2,2,4,
20260115,3443,SignalA,StrongGroup,09:20:35,09:22:02,takeProfit,39920,0.40,0h01m27s,2505.0,設計IP,6,1,1,
20260115,3189,SignalA,StrongGroup,09:21:44,09:27:19,takeProfit,113960,1.14,0h05m35s,175.5,ABF,9,1,1,
20260115,2455,SignalA,StrongGroup,09:25:49,09:31:07,stopLoss,-42169,-0.42,0h05m18s,166.0,砷化鎵,7,1,1,
20260115,1605,SignalA,StrongGroup,09:37:17,09:45:32,takeProfit,107399,1.07,0h08m15s,41.9,不鏽鋼,4,2,2,
20260115,8021,SignalA,StrongGroup,09:39:26,10:05:52,stopLoss,13605,0.14,0h26m26s,220.5,PCB上游,2,2,4,
20260115,1802,SignalA,StrongGroup,10:16:52,10:46:47,stopLoss,-111717,-1.12,0h29m55s,36.7,玻纖布,1,1,2,
20260115,2313,SignalA,StrongGroup,09:31:32,10:53:25,stopLoss,-177305,-1.77,1h21m53s,141.0,低軌衛星,1,1,2,
20260115,1605,SignalA,StrongGroup,10:56:38,11:14:02,takeProfit,236128,2.36,0h17m24s,42.4,不鏽鋼,3,1,1,
20260115,1802,SignalA,StrongGroup,11:07:00,11:17:34,takeProfit,68120,0.68,0h10m34s,36.7,玻纖布,1,1,2,
20260116,3701,SignalA,StrongGroup,09:24:18,09:29:26,stopLoss,-162602,-1.63,0h05m08s,61.4,CPO,3,1,1,
20260116,6706,SignalA,StrongGroup,09:29:00,09:33:38,stopLoss,-132231,-1.32,0h04m38s,121.0,CPO,3,2,2,
20260116,2374,SignalA,StrongGroup,09:27:28,09:43:34,takeProfit,84643,0.85,0h16m06s,82.7,光學鏡頭指標,3,1,1,
20260116,8271,SignalA,StrongGroup,09:40:07,09:45:13,takeProfit,118577,1.19,0h05m06s,126.5,記憶體,5,2,5,
20260116,5347,SignalA,StrongGroup,09:26:37,10:07:12,takeProfit,228137,2.28,0h40m35s,131.5,專業IC代工,4,1,1,
20260116,3376,SignalA,StrongGroup,09:37:49,10:19:46,stopLoss,-13333,-0.13,0h41m57s,225.0,軸承,5,1,1,
20260116,2374,SignalA,StrongGroup,10:13:44,13:20:00,timeExit,-28846,-0.29,3h06m16s,83.2,光學鏡頭指標,3,1,1,
20260116,2451,SignalA,StrongGroup,10:03:22,13:20:05,timeExit,78895,0.79,3h16m43s,253.0,記憶體,3,1,3,
20260119,6488,SignalA,StrongGroup,09:20:04,09:31:40,stopLoss,-140704,-1.41,0h11m36s,497.5,矽晶圓指標,6,1,1,
20260119,1303,SignalA,StrongGroup,09:20:51,09:43:21,stopLoss,101828,1.02,0h22m30s,76.6,玻纖布,1,1,4,
20260119,1815,SignalA,StrongGroup,09:36:12,09:45:38,stopLoss,-192308,-1.92,0h09m26s,104.0,玻纖布,1,1,3,
20260119,3149,SignalA,StrongGroup,09:27:23,10:04:10,takeProfit,150215,1.50,0h36m47s,46.6,TFT 面板,3,1,1,
20260119,8271,SignalA,StrongGroup,09:52:29,10:08:14,stopLoss,-179856,-1.80,0h15m45s,139.0,記憶體,1,2,10,
20260119,2312,SignalA,StrongGroup,10:14:16,11:00:56,stopLoss,-152355,-1.52,0h46m40s,36.1,車用電子,5,1,1,
20260119,8074,SignalA,StrongGroup,10:56:48,12:24:28,stopLoss,-150000,-1.50,1h27m40s,60.0,鑽孔,9,1,1,
20260120,4989,SignalA,StrongGroup,09:22:00,09:28:39,stopLoss,-149254,-1.49,0h06m39s,66.9,PCB上游,2,1,3,
20260120,8086,SignalA,StrongGroup,09:41:26,09:56:28,takeProfit,85837,0.86,0h15m02s,116.0,砷化鎵,1,2,2,
20260120,3016,SignalA,StrongGroup,10:32:54,10:38:04,takeProfit,238854,2.39,0h05m10s,62.8,矽晶圓指標,9,1,1,
20260120,6182,SignalA,StrongGroup,09:41:43,11:04:30,stopLoss,-137157,-1.37,1h22m47s,40.1,矽晶圓指標,9,1,1,
20260120,3016,SignalA,StrongGroup,11:25:38,12:22:44,takeProfit,284360,2.84,0h57m06s,63.3,矽晶圓指標,8,1,1,
20260120,6223,SignalA,StrongGroup,09:58:08,13:20:00,timeExit,115226,1.15,3h21m52s,2430.0,探針卡,1,2,4,
20260120,2303,SignalA,StrongGroup,11:21:08,13:20:00,timeExit,179372,1.79,1h58m52s,66.9,專業IC代工,4,1,1,
20260121,5347,SignalA,StrongGroup,09:22:22,09:41:05,takeProfit,236486,2.36,0h18m43s,148.0,專業IC代工,1,2,2,
20260121,8422,SignalA,StrongGroup,09:28:33,09:42:47,stopLoss,-148402,-1.48,0h14m14s,43.8,回收焚化相關指標,4,1,2,
20260121,5483,SignalA,StrongGroup,09:35:10,10:13:22,stopLoss,48780,0.49,0h38m12s,123.0,矽晶圓指標,1,2,4,
20260121,2467,SignalA,StrongGroup,09:28:56,10:16:59,stopLoss,-134875,-1.35,0h48m03s,259.5,FOPLP,3,2,2,
20260121,5347,SignalA,StrongGroup,10:28:49,11:12:57,stopLoss,-165563,-1.66,0h44m08s,151.0,專業IC代工,1,2,2,
20260121,5371,SignalA,StrongGroup,12:10:55,13:20:00,timeExit,-82051,-0.82,1h09m05s,97.5,軍工,2,2,4,
20260122,1504,SignalA,StrongGroup,09:30:51,09:30:53,takeProfit,11287,0.11,0h00m02s,88.6,家電,2,1,2,
