00952 ,凱基台灣AI50    ,T,11.62,12.78,10.46,00,  ,0
00953B,群益優選非投等債,T,9.70,9999.95,0.01,00,  ,0
00954 ,中信日本半導體  ,T,11.56,9999.95,0.01,00,  ,0
00956 ,中信日經高股息  ,T,11.01,9999.95,0.01,00,  ,0
00960 ,野村全球航運龍頭,T,13.95,9999.95,0.01,00,  ,0
00961 ,FT臺灣永續高息  ,T,9.44,10.38,8.50,00,  ,0
00962 ,台新AI優息動能  ,T,10.78,11.85,9.71,00,  ,0
00963 ,中信全球高股息  ,T,11.17,9999.95,0.01,00,  ,0
00964 ,中信亞太高股息  ,T,11.35,9999.95,0.01,00,  ,0
00965 ,元大航太防衛科技,T,22.21,9999.95,0.01,00,  ,0
00971 ,野村美國研發龍頭,T,17.04,9999.95,0.01,00,  ,0
00972 ,野村日本動能高息,T,17.55,9999.95,0.01,00,  ,0
009800,中信NASDAQ      ,T,11.02,9999.95,0.01,00,  ,0
009801,中信美國創新科技,T,11.18,9999.95,0.01,00,  ,0
009802,富邦旗艦50      ,T,10.82,11.90,9.74,00,  ,0
009803,保德信市值動能50,T,12.59,13.84,11.34,00,  ,0
009804,聯邦台精彩50    ,T,14.03,15.43,12.63,00,  ,0
009805,新光美國電力基建,T,12.64,9999.95,0.01,00,  ,0
009808,華南永昌優選50  ,T,18.84,20.72,16.96,00,  ,0
009809,富邦淨零ESG50   ,T,10.20,11.22,9.18,00,  ,0
00980A,主動野村臺灣優選,T,14.57,16.02,13.12,00,  ,0
009810,保德信全球藍籌  ,T,18.45,9999.95,0.01,00,  ,0
009811,統一美國50      ,T,11.72,9999.95,0.01,00,  ,0
009812,野村日本東證    ,T,10.52,9999.95,0.01,00,  ,0
009813,貝萊德標普卓越50,T,10.52,9999.95,0.01,00,  ,0
00981A,主動統一台股增長,T,15.95,17.54,14.36,00,  ,0
00981T,平衡凱基雙核收息,T,10.43,9999.95,0.01,00,  ,0
00982A,主動群益台灣強棒,T,13.68,15.04,12.32,00,  ,0
00982D,主動富邦動態入息,T,10.19,9999.95,0.01,00,  ,0
00983A,主動中信ARK創新 ,T,12.06,9999.95,0.01,00,  ,0
00983D,主動富邦複合收益,T,10.26,9999.95,0.01,00,  ,0
00984A,主動安聯台灣高息,T,10.50,11.55,9.45,00,  ,0
00985A,主動野村台灣50  ,T,12.65,13.91,11.39,00,  ,0
00985B,群益ESG投等債0-5,T,10.29,9999.95,0.01,00,  ,0
00986A,主動台新龍頭成長,T,11.34,9999.95,0.01,00,  ,0
00988A,主動統一全球創新,T,9.86,9999.95,0.01,00,  ,0
00989A,主動摩根美國科技,T,15.03,9999.95,0.01,00,  ,0
01001T,土銀富邦R1      ,T,11.73,12.90,10.56,00,  ,0
01002T,土銀國泰R1      ,T,14.65,16.11,13.19,00,  ,0
01004T,土銀富邦R2      ,T,10.86,11.94,9.78,00,  ,0
01007T,兆豐國泰R2      ,T,13.35,14.68,12.02,00,  ,0
01009T,王道圓滿R1      ,T,7.05,7.75,6.35,00,  ,0
01010T,京城樂富R1      ,T,10.03,11.03,9.03,00,  ,0
020000,富邦特選蘋果N   ,T,16.92,18.61,15.23,00,  ,0
020011,統一微波高息20N ,T,10.33,11.36,9.30,00,  ,0
020012,富邦行動通訊N   ,T,13.36,14.69,12.03,00,  ,0
02001L,富邦蘋果正二N   ,T,47.33,56.75,37.87,00,  ,0
02001R,富邦蘋果反一N   ,T,0.90,0.99,0.81,00,  ,0
02001S,策元大加權策略N ,T,9.01,9.91,8.11,00,  ,0
020020,元大台股領航N   ,T,14.93,16.42,13.44,00,  ,0
020028,元大特選電動車N ,T,12.78,14.05,11.51,00,  ,0
020029,元大ESG高股息N  ,T,9.43,10.37,8.49,00,  ,0
020030,統一智慧電動車N ,T,8.50,9.35,7.65,00,  ,0
020031,統一IC設計臺灣N ,T,6.13,6.74,5.52,00,  ,0
020032,元大綠能N       ,T,7.69,8.45,6.93,00,  ,0
020034,元大IC設計N     ,T,7.39,8.12,6.66,00,  ,0
020036,元大金融配息N   ,T,6.98,7.67,6.29,00,  ,0
020037,元大金融高股息N ,T,7.72,8.49,6.95,00,  ,0
020038,元大ESG配息N    ,T,7.79,8.56,7.02,00,  ,0
020039,元大加權N       ,T,8.70,9.57,7.83,00,  ,0
030001,大同凱基51購02  ,T,0.39,1.85,0.01,00,W2,0
030002,漢唐凱基51購07  ,T,0.15,6.45,0.01,00,W2,0
030003,京元電凱基53購03,T,8.35,12.30,4.39,00,W2,0
030004,欣興凱基54購02  ,T,3.54,5.40,1.68,00,W2,0
030005,牧德凱基51購04  ,T,0.72,2.83,0.01,00,W2,0
030006,智易凱基51購02  ,T,0.25,1.54,0.01,00,W2,0
030007,世芯凱基51購23  ,T,0.06,3.31,0.01,00,W2,0
030008,貿聯凱基51購11  ,T,10.40,15.60,5.15,00,W2,0
030009,jpp凱基51購01   ,T,1.76,3.49,0.03,00,W2,0
030010,訊芯凱基51購01  ,T,0.66,1.93,0.01,00,W2,0
030011,力積電凱基51購02,T,14.40,17.50,11.30,00,W2,0
030012,AES凱基57購02   ,T,1.53,2.40,0.66,00,W2,0
030013,泓德凱基51購01  ,T,0.04,0.84,0.01,00,W2,0
030014,世紀鋼凱基53購02,T,0.10,1.52,0.01,00,W2,0
030015,臺股指凱基51購30,T,5.05,9.15,0.92,00,W2,0
030016,南亞群益51購01  ,T,4.30,6.50,2.06,00,W2,0
030017,南亞群益51購02  ,T,3.15,8.75,0.01,00,W1,0
030018,台化群益51購03  ,T,1.18,2.83,0.01,00,W2,0
030019,聚陽群益51購01  ,T,2.24,5.75,0.01,00,W2,0
03001U,臺股指凱基57售01,T,0.33,5.80,0.01,00,W4,0
030020,華城群益51購08  ,T,1.41,5.00,0.01,00,W2,0
030021,台玻群益56購01  ,T,2.39,3.38,1.40,00,W2,0
030022,大成鋼群益51購05,T,0.28,2.56,0.01,00,W2,0
030023,光寶科群益51購02,T,2.29,3.70,0.88,00,W2,0
030024,光寶科群益53購01,T,1.79,4.62,0.01,00,W2,0
030025,鴻海群益53購10  ,T,2.00,7.05,0.01,00,W2,0
030026,台積電群益51購26,T,4.68,11.60,0.01,00,W2,0
030027,台積電群益51購27,T,3.38,12.40,0.01,00,W2,0
030028,台積電群益51購28,T,1.88,10.90,0.01,00,W2,0
030029,智邦群益51購10  ,T,1.03,6.60,0.01,00,W2,0
030030,鴻準群益51購02  ,T,1.17,5.65,0.01,00,W2,0
030031,華碩群益51購03  ,T,0.14,3.49,0.01,00,W2,0
030032,全新群益51購02  ,T,0.27,1.62,0.01,00,W2,0
030033,奇鋐群益51購10  ,T,5.85,7.60,4.10,00,W2,0
030034,亞光群益51購05  ,T,0.80,3.60,0.01,00,W2,0
030035,信邦群益51購02  ,T,0.46,1.60,0.01,00,W2,0
030036,欣興群益51購07  ,T,3.06,4.37,1.75,00,W2,0
030037,景碩群益57購01  ,T,1.90,2.60,1.20,00,W2,0
030038,玉晶光群益53購03,T,0.70,1.90,0.01,00,W2,0
030039,創意群益51購08  ,T,9.00,11.90,6.10,00,W2,0
03003U,元債2X元大53售05,T,0.17,9995.00,0.01,00,W3,0
030040,群創群益57購01  ,T,0.76,2.04,0.01,00,W2,0
030041,華擎群益51購02  ,T,1.05,2.80,0.01,00,W2,0
030042,世芯群益51購20  ,T,0.07,3.32,0.01,00,W2,0
030043,貿聯群益51購05  ,T,16.40,21.60,11.20,00,W2,0
030044,臻鼎群益57購01  ,T,1.28,1.98,0.58,00,W2,0
030045,瀚宇博群益51購03,T,2.50,4.07,0.91,00,W2,0
030046,邁達特群益51購03,T,0.05,1.73,0.01,00,W2,0
030047,聯茂群益54購01  ,T,0.56,1.40,0.01,00,W2,0
030048,愛普群益51購05  ,T,3.90,6.80,1.00,00,W2,0
030049,緯穎群益51購08  ,T,11.10,15.50,6.65,00,W2,0
03004U,道瓊2X元大53售01,T,0.09,9995.00,0.01,00,W4,0
030050,AES群益53購01   ,T,1.13,3.00,0.01,00,W2,0
030051,富世達群益51購08,T,11.30,15.90,6.65,00,W2,0
030052,南電群益53購05  ,T,2.32,3.36,1.28,00,W2,0
030053,臺指2X中信53購02,T,2.59,5.60,0.01,00,W2,0
030054,台塑中信52購01  ,T,0.10,3.00,0.01,00,W2,0
030055,南亞中信52購01  ,T,5.30,9.50,1.10,00,W2,0
030056,台化中信52購01  ,T,0.88,4.18,0.01,00,W1,0
030057,大成鋼中信52購01,T,0.05,3.66,0.01,00,W2,0
030058,光寶科中信52購01,T,1.80,6.50,0.01,00,W2,0
030059,大成鋼永豐53購03,T,0.33,1.39,0.01,00,W2,0
030060,川湖永豐53購02  ,T,2.42,3.50,1.34,00,W2,0
030061,光寶科永豐53購02,T,1.65,2.31,0.99,00,W2,0
030062,華通永豐52購02  ,T,1.79,2.72,0.86,00,W2,0
030063,華通永豐53購01  ,T,2.14,3.56,0.72,00,W2,0
030064,鴻海永豐52購03  ,T,2.45,4.12,0.78,00,W2,0
030065,金像電永豐52購07,T,4.14,5.30,2.97,00,W2,0
030066,宏達電永豐52購02,T,2.13,3.50,0.76,00,W2,0
030067,宏達電永豐53購02,T,2.88,5.70,0.04,00,W2,0
030068,欣興永豐52購02  ,T,1.26,3.49,0.01,00,W2,0
030069,欣興永豐52購03  ,T,1.83,2.75,0.91,00,W2,0
03006X,元展06          ,T,168.00,187.00,149.00,00,W1,0
030070,欣興永豐52購04  ,T,1.52,2.83,0.21,00,W2,0
030071,景碩永豐53購02  ,T,1.52,2.44,0.60,00,W2,0
030072,臻鼎永豐53購01  ,T,1.18,1.99,0.37,00,W2,0
030073,同欣電永豐53購01,T,0.59,1.28,0.01,00,W2,0
030074,緯穎永豐52購01  ,T,4.88,6.20,3.55,00,W2,0
030075,緯穎永豐52購02  ,T,6.05,8.25,3.83,00,W2,0
030076,台塑統一56購01  ,T,0.40,0.89,0.01,00,W2,0
030077,南亞統一56購01  ,T,1.78,2.45,1.11,00,W2,0
030078,南亞統一56購02  ,T,1.48,2.04,0.92,00,W2,0
030079,南亞統一59購01  ,T,1.55,2.15,0.95,00,W2,0
03007X,元展07          ,T,75.50,84.00,67.00,00,W1,0
030080,台化統一56購01  ,T,0.77,1.36,0.18,00,W2,0
030081,台玻統一56購03  ,T,1.47,1.96,0.98,00,W2,0
030082,台玻統一56購04  ,T,1.72,2.31,1.13,00,W2,0
030083,光寶科統一56購01,T,1.05,1.56,0.54,00,W2,0
030084,台達電統一56購05,T,3.21,4.14,2.27,00,W2,0
030085,金像電統一56購04,T,2.32,2.94,1.70,00,W2,0
030086,全新統一56購05  ,T,0.37,0.64,0.10,00,W2,0
030087,欣興統一56購03  ,T,1.24,1.75,0.73,00,W2,0
030088,玉晶光統一59購01,T,0.57,1.01,0.13,00,W2,0
030089,貿聯統一56購04  ,T,1.98,2.43,1.53,00,W2,0
030090,達興統一59購01  ,T,1.43,1.90,0.96,00,W2,0
030091,瀚宇博統一57購03,T,2.03,2.55,1.50,00,W2,0
030092,訊芯統一59購01  ,T,0.55,0.82,0.28,00,W2,0
030093,南電統一57購05  ,T,1.31,1.70,0.92,00,W2,0
030094,南電統一57購06  ,T,1.45,1.97,0.93,00,W2,0
030095,南電統一59購02  ,T,1.25,1.74,0.76,00,W2,0
030096,南亞富邦53購01  ,T,2.86,3.81,1.91,00,W2,0
030097,聚陽富邦53購02  ,T,1.38,2.16,0.60,00,W2,0
030098,台達電富邦53購03,T,6.80,9.10,4.45,00,W2,0
030099,金像電富邦53購02,T,4.86,6.40,3.31,00,W2,0
030100,大同富邦52購01  ,T,0.09,1.00,0.01,00,W2,0
030101,愛普富邦53購01  ,T,1.39,2.42,0.36,00,W2,0
030102,台玻台新52購01  ,T,6.75,9.25,4.21,00,W2,0
030103,台灣50元富57購01,T,5.50,11.60,0.01,00,W1,0
030104,材料元富52購02  ,T,0.13,1.72,0.01,00,W2,0
030105,聯茂元富54購01  ,T,1.49,3.59,0.01,00,W2,0
030106,同欣電元富52購01,T,1.64,3.92,0.01,00,W2,0
030107,AES元富52購01   ,T,5.55,11.10,0.01,00,W2,0
030108,AES元富52購02   ,T,0.54,3.04,0.01,00,W2,0
030109,AES元富57購01   ,T,0.95,1.45,0.45,00,W2,0
03010X,元展10          ,T,167.00,186.00,148.00,00,W2,0
030110,T50正2國泰53購01,T,4.79,8.75,0.81,00,W2,0
030111,南亞國泰53購01  ,T,8.60,12.50,4.68,00,W2,0
030112,華城國泰53購01  ,T,2.40,4.20,0.60,00,W2,0
030113,光寶科國泰53購01,T,2.69,4.10,1.28,00,W2,0
030114,佳能國泰53購02  ,T,3.99,5.25,2.73,00,W2,0
030115,全新國泰53購01  ,T,0.52,1.19,0.01,00,W2,0
030116,牧德國泰53購02  ,T,1.74,3.32,0.14,00,W2,0
030117,台塑化國泰53購01,T,4.53,6.60,2.45,00,W2,0
030118,世紀鋼國泰53購01,T,0.10,0.95,0.01,00,W2,0
030119,台塑國票53購03  ,T,1.91,5.00,0.01,00,W2,0
030120,億泰國票53購02  ,T,0.41,1.61,0.01,00,W2,0
030121,億泰國票54購01  ,T,0.49,1.84,0.01,00,W2,0
030122,大成鋼國票53購01,T,0.38,4.18,0.01,00,W1,0
030123,川湖國票53購02  ,T,4.60,9.60,0.01,00,W2,0
030124,華通國票53購01  ,T,3.14,9.90,0.01,00,W2,0
030125,致茂國票53購01  ,T,15.00,18.20,11.80,00,W2,0
030126,正崴國票53購01  ,T,0.04,2.38,0.01,00,W2,0
030127,南亞科國票53購01,T,40.70,47.20,34.20,00,W2,0
030128,建準國票53購01  ,T,2.96,4.36,1.56,00,W2,0
030129,欣興國票59購01  ,T,2.68,4.17,1.19,00,W2,0
03012X,元展12          ,T,37.00,42.40,31.60,00,W2,0
030130,景碩國票56購01  ,T,2.50,3.76,1.24,00,W2,0
030131,緯創國票53購02  ,T,1.11,2.06,0.16,00,W2,0
